Site_ID_split,Level_layer_concentration,TaxUnit,TaxUnit_unique,Timeslice,Long,Lat,Dating_BP,Dating_method,Dating_qual,Site_type,Site_strat,Ass_pos,Ass_coh,Site_fau2,Site_excav,Key_references,Macro_region,Macro_region_code,Site_ID,LabCode/Ref,Site (from main datasheet + 14c-palaeolithic),Site_ID (from main datasheet),Layer/Context (from main datasheet),Additional info on layer/context not originally in the datasheet,TaxUnit (from main datasheet),Conv_C14_date,Conv_std,AMS_C14_date,AMS_Pm/Std,Dated material,Dated species,Informaton on pretreatment,Source (Database/Literature),Org. Lit. Reference (if given),Other comments/observation,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax
Altwasser,OK Schicht C; UK Schicht B,Epigravettiano recente,REpigrav_ASH,4,9.476824,47.282723,"12,000-11,000",C14,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Jagher et al. 1997,"Austria, Slovakia and Hungary",ASH,Altwasser,ETH-14920,Altwasserhoehle,Altwasser,OK Schicht C; UK Schicht B,NA,Epigravettiano recente,10000,100,NA,NA,bone,cf. Capra ibex,NA,Radiocarbon Palaeolithic Europe Database v27,"Jagher, et al. 1997. Le Tensorer J.-M. 1998. Le Paléolithique en Suisse. J. Millon.",long bone fragment intentionally broken,11751,11345,11997
Zoeld,Layer 3,Late Epigravettian,LEpigrav_ASH,1,18.984693,47.622886,"16,000-14,000",C14,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,After 2000,Beres et al. 2020,"Austria, Slovakia and Hungary",ASH,Zoeld,Poz-99669,Zöld Cave,Zoeld,Layer 3,51cm,Late Epigravettian,NA,NA,13110,90,NA,NA,NA,Beres et al. 2021,Beres et al. 2021,NA,15448,15072,15735
Zoeld,Layer 3,Late Epigravettian,LEpigrav_ASH,1,18.984693,47.622886,"16,000-14,000",C14,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,After 2000,Beres et al. 2020,"Austria, Slovakia and Hungary",ASH,Zoeld,DeA-19556,Zöld Cave,Zoeld,Layer 3,60cm,Late Epigravettian,NA,NA,12700,60,NA,NA,NA,Beres et al. 2021,Beres et al. 2021,NA,15448,15072,15735
Zoeld,Layer 3,Late Epigravettian,LEpigrav_ASH,1,18.984693,47.622886,"16,000-14,000",C14,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,After 2000,Beres et al. 2020,"Austria, Slovakia and Hungary",ASH,Zoeld,Poz-103229,Zöld Cave,Zoeld,Layer 3,100cm,Late Epigravettian,NA,NA,12930,50,NA,NA,NA,Beres et al. 2021,Beres et al. 2021,NA,15448,15072,15735
Nadap,Cultural layer 7 - sandy slope loess,Late Epigravettian,LEpigrav_ASH,1,18.577881,47.243813,"16,000-15,000",C14,Reliable,Openair,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,"Dobosi et al. 1988,Lengyel 2008-2009","Austria, Slovakia and Hungary",ASH,Nadap,GrA-16563,Nadap,Nadap,Cultural layer 7 - sandy slope loess,NA,Late Epigravettian,NA,NA,13050,70,Phalange,Horse,NA,Radiocarbon Palaeolithic Europe Database v27,Verpoorte A. 2004. Antiquity 300: 257-267.,no cutmarks,15637,15534,15758
BoisLaiterie,strata YSS+BSC,Magdalenian,Mag_BSN,1,4.86,50.36,12.6 kyr BP,"three 14C-dates AMS, dates of 12,660; 12,625; 12665; two on bone, one on antler",Reliable,Cave,Stratified,Secondary/relocated,Homogeneous,TRUE,1980-2000,Otte and Strauss 1997,Belgium and Southern Netherlands,BSN,BoisLaiterie,OxA-4198,Bois Laiterie cave,BoisLaiterie,strata YSS+BSC,NA,Magdalenian,12660,140,NA,NA,antler,Reindeer,NA,Grimm 2019,NA,NA,15038,14618,15313
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,OxA-3632,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,NA,NA,12790,100,bone,Equus cavallus arcelini,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",with cutmarks from cave,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,OxA-4192,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,NA,NA,12860,140,bone,Ovibos moschatus,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",with cutmarks from cave,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,OxA-3633,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,NA,NA,12880,100,bone,"Equus ferus, Equus caballus arcelini",NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",with cutmarks from cave,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,OxA-3633,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,NA,NA,12880,100,bone,Equus cavallus arcelini,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",with cutmarks from cave,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,Lv-1136,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,12710,150,NA,NA,bone fragments,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",with cutmarks from cave,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,OxA-V-2216-45,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,NA,NA,12630,55,single bone,Equus cavallus arcelini,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",with cutmarks from cave,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,OxA-V-2216-44,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,NA,NA,12375,50,single bone,Equus cavallus arcelini,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",with cutmarks from cave,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,Lv-1569,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,12990,140,NA,NA,NA,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.",from layer IV from terrace,15175,14342,15647
TroudeChaleux,Otte and older Dupont excavations,Magdalenian,Mag_BSN,1,4.95,50.22,12.9 - 12.7 kyr BP,5 14C dates (two AMS) four of which in the same time range.,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1980-2000,Otte 1994,Belgium and Southern Netherlands,BSN,TroudeChaleux,Lv-1568,Trou de Chaleux,TroudeChaleux,5,NA,Final Magdalenian,12370,170,NA,NA,NA,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"M. Otte (dir.), 1994: Le Magdalénien du Trou de Chaleux (Hulsonniaux, Belgique). Liège, ERAUL 60. Stevens R.E. 2009. JAS 36: 653-662.","from layer 6, terrace",15175,14342,15647
Rekem,entire site (16 clusters),Federmesser,Feder_BSN,2,5.69,50.91,"11,350 BP (OxA-942)",14C - resin,Reliable,Openair,Stratified,Primary/insitu,Homogeneous,FALSE,1980-2000,De Bie and Caspar 2000,Belgium and Southern Netherlands,BSN,Rekem,OxA-942,Rekem,Rekem,entire site (16 clusters),NA,Federmesser / Tjongérien,NA,NA,11350,150,resine,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Otte M. & Miller R. 1999. Chronologie paléolithique du Benelux: phase récente (40-10000 BP). In: European Late Pleistocene, Isotope Stages 2 and 3: humans, their ecology & cultural adaptations, Eraul 90:",attached to a Tjonger point,13245,13100,13395
MilheezeHutseberg1,two concentrations,Federmesser,Feder_BSN,2,5.81,51.51,"11,150 ± 60",14C cremated bone,Reliable,Openair,Stratified,Primary/insitu,Homogeneous,FALSE,1950-1980,"Rozoy 1978,Lauwerier and Deeben 2011",Belgium and Southern Netherlands,BSN,"MilheezeHutseberg1,MilheezeHutseberg2",GrN-2314,Milheeze Hutseberg,"MilheezeHutseberg1,MilheezeHutseberg2",two concentrations,NA,Tongerian Federmesser,10880,125,NA,NA,charcoal,NA,NA,Radiocarbon Palaeolithic Europe Database v27,Lanting J.N. & Van der Plicht J. 1995/1996. Palaeohistoria 37/38: 71-126.,NA,12842,12726,12959
MilheezeHutseberg2,two concentrations,Federmesser,Feder_BSN,2,5.81,51.51,"11,150 ± 60",14C cremated bone,Reliable,Openair,Stratified,Primary/insitu,Homogeneous,FALSE,1950-1980,"Rozoy 1978,Lauwerier and Deeben 2011",Belgium and Southern Netherlands,BSN,"MilheezeHutseberg1,MilheezeHutseberg2",GrN-2314,Milheeze Hutseberg,"MilheezeHutseberg1,MilheezeHutseberg2",two concentrations,NA,Tongerian Federmesser,10880,125,NA,NA,charcoal,NA,NA,Radiocarbon Palaeolithic Europe Database v27,Lanting J.N. & Van der Plicht J. 1995/1996. Palaeohistoria 37/38: 71-126.,NA,12842,12726,12959
WestelbeersZW,several concentrations (minimum one but mixed with Early Mesolithic),Federmesser,Feder_BSN,2,5.21,51.44,"11,510 ± 60; 11,030 ± 45",14C cremated bone,Reliable,Openair,Stratified,Primary/insitu,Mixed,FALSE,1980-2000,"Arts and Deeben 1976,Snijders 2000",Belgium and Southern Netherlands,BSN,WestelbeersZW,GrA-20207,Westelbeers,WestelbeersZW,several concentrations (minimum one but mixed with Early Mesolithic),NA,Federmesser,NA,NA,11510,60,calcined mammal bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,Lauwerier R. e.a. 2011. AK 41: 1-20.,NA,13384,13325,13441
Remouchamps,occupation layer cave site,Epi-Ahrensburgian,EpiAhr_BSN,3,5.71,50.48,3 dates ranging from 10.8 to 10.3 kyr BP,14C (two AMS) on cutmarked bones,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,Dewez 1974,Belgium and Southern Netherlands,BSN,Remouchamps,Lv-535,Remouchamps,Remouchamps,NA,NA,Ahrensburgian,10380,170,NA,NA,bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Otte M. & Miller R. 1999. Chronologie paléolithique du Benelux: phase récente (40-10000 BP). In: European Late Pleistocene, Isotope Stages 2 and 3: humans, their ecology & cultural adaptations, Eraul 90: Dewez M. e.a. 1974, BSRBAP 85: 5-161,",NA,12301,11939,12829
Remouchamps,occupation layer cave site,Epi-Ahrensburgian,EpiAhr_BSN,3,5.71,50.48,3 dates ranging from 10.8 to 10.3 kyr BP,14C (two AMS) on cutmarked bones,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,Dewez 1974,Belgium and Southern Netherlands,BSN,Remouchamps,OxA-4190,Remouchamps,Remouchamps,NA,NA,Ahrensburgian,NA,NA,10330,110,bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Otte M. & Miller R. 1999. Chronologie paléolithique du Benelux: phase récente (40-10000 BP). In: European Late Pleistocene, Isotope Stages 2 and 3: humans, their ecology & cultural adaptations, Eraul 90: Dewez M. e.a. 1974, BSRBAP 85: 5-161,",NA,12301,11939,12829
Remouchamps,occupation layer cave site,Epi-Ahrensburgian,EpiAhr_BSN,3,5.71,50.48,3 dates ranging from 10.8 to 10.3 kyr BP,14C (two AMS) on cutmarked bones,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,Dewez 1974,Belgium and Southern Netherlands,BSN,Remouchamps,OxA-4191,Remouchamps,Remouchamps,NA,NA,Ahrensburgian,NA,NA,10800,110,bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Otte M. & Miller R. 1999. Chronologie paléolithique du Benelux: phase récente (40-10000 BP). In: European Late Pleistocene, Isotope Stages 2 and 3: humans, their ecology & cultural adaptations, Eraul 90: Dewez M. e.a. 1974, BSRBAP 85: 5-161,",NA,12301,11939,12829
Remouchamps,occupation layer cave site,Epi-Ahrensburgian,EpiAhr_BSN,3,5.71,50.48,3 dates ranging from 10.8 to 10.3 kyr BP,14C (two AMS) on cutmarked bones,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,Dewez 1974,Belgium and Southern Netherlands,BSN,Remouchamps,OxA-3634,Remouchamps,Remouchamps,NA,NA,Ahrensburgian,NA,NA,10320,80,bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Otte M. & Miller R. 1999. Chronologie paléolithique du Benelux: phase récente (40-10000 BP). In: European Late Pleistocene, Isotope Stages 2 and 3: humans, their ecology & cultural adaptations, Eraul 90: Dewez M. e.a. 1974, BSRBAP 85: 5-161,",NA,12301,11939,12829
Geldrop32Oost,single cluster,Epi-Ahrensburgian,EpiAhr_BSN,4,5.56,51.41,"9,970 ± 60",14C on calcined bone,Reliable,Openair,Stratified,Primary/insitu,Homogeneous,FALSE,1980-2000,"Deeben 1996,Crombé et al. 2014",Belgium and Southern Netherlands,BSN,Geldrop32Oost,GrA-15182,Geldrop 3-2 Oost,Geldrop32Oost,single cluster,NA,Late Palaeolithic (Ahrensburgian?) or Mesolithic,NA,NA,9770,60,calcinated bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Deeben, J. Dijkstra P & Van Gisbergen P. 2000. Notae Praehistoricae 20: 95-109.",NA,11201,11164,11248
Hostim,NA,Magdalenian,Mag_BOMO,1,14.116111,49.954444,16041-13480,14C,Reliable,Openair,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,Vencl 1995,Bohemia and Moravia,BOMO,Hostim,Ly-1108,Hostim,Hostim,NA,NA,Magdalenian,12420,470,NA,NA,charcoal,NA,NA,Radiocarbon Palaeolithic Europe Database v27,Valoch 1996,NA,14644,13818,15282
Hostim,NA,Magdalenian,Mag_BOMO,1,14.116111,49.954444,16041-13480,14C,Reliable,Openair,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,Vencl 1995,Bohemia and Moravia,BOMO,Hostim,Ly-1180,Hostim,Hostim,NA,NA,Upper Magdalenian,12420,470,NA,NA,NA,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Svoboda J. e.a. 2002. Antiquity 76: 957-62.",NA,14644,13818,15282
Pekarna,NA,Magdalenian,Mag_BOMO,1,16.746111,49.241944,15190-14263; 15400-14878,14C,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,"Klíma 1974,Svoboda 1991,Svoboda et al. 2000",Bohemia and Moravia,BOMO,Pekarna,OxA-5972,Pekárna Cave,Pekarna,NA,NA,"Magdalenian, Epi-Magdalenian",NA,NA,12500,110,bone point,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",from clayey horizon above loess,15068,14475,15357
Pekarna,NA,Magdalenian,Mag_BOMO,1,16.746111,49.241944,15190-14263; 15400-14878,14C,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,"Klíma 1974,Svoboda 1991,Svoboda et al. 2000",Bohemia and Moravia,BOMO,Pekarna,GrN-14828,Pekárna Cave,Pekarna,NA,NA,"Magdalenian, Epi-Magdalenian",12670,80,NA,NA,charcoal,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",NA,15068,14475,15357
Pekarna,NA,Magdalenian,Mag_BOMO,1,16.746111,49.241944,15190-14263; 15400-14878,14C,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,"Klíma 1974,Svoboda 1991,Svoboda et al. 2000",Bohemia and Moravia,BOMO,Pekarna,Ly-2553,Pekárna Cave,Pekarna,NA,NA,Magdalenian,12940,250,NA,NA,NA,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Housley RA et al., 1997. PPS 63:25-54.",NA,15068,14475,15357
Kulna6,layers 5 and 6,Magdalenian,Mag_BOMO,2,16.737777,49.408333,13538-13217; 13648-13358 (both from layer 6),14C,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,"Valoch 1988,Valoch and Neruda 2005",Bohemia and Moravia,BOMO,Kulna6,OxA-25290,Kůlna Cave,Kulna6,layers 5 and 6,NA,Older Magdalenian,NA,NA,12555,60,"bone, Tibia",Equus sp.,NA,Radiocarbon Palaeolithic Europe Database v27,"Valoch K.2001. Jahrbuch des Romisch-Germanischen Zentralmuseums Mainz 48: 103-162. Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K-4577/66, from G1, 36-37N K2011011",14663,12848,15271
Kulna6,layers 5 and 6,Magdalenian,Mag_BOMO,2,16.737777,49.408333,13538-13217; 13648-13358 (both from layer 6),14C,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,"Valoch 1988,Valoch and Neruda 2005",Bohemia and Moravia,BOMO,Kulna6,OxA-25288,Kůlna Cave,Kulna6,layers 5 and 6,NA,Young Magdalenian,NA,NA,12600,60,bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K20110007 from mixed layer? From C, I-III/K,L",14663,12848,15271
Kulna6,layers 5 and 6,Magdalenian,Mag_BOMO,2,16.737777,49.408333,13538-13217; 13648-13358 (both from layer 6),14C,Reliable,Cave,Stratified,Primary/insitu,Homogeneous,TRUE,1950-1980,"Valoch 1988,Valoch and Neruda 2005",Bohemia and Moravia,BOMO,Kulna6,OxA-25287,Kůlna Cave,Kulna6,layers 5 and 6,NA,Young Magdalenian,NA,NA,11010,50,bone,NA,NA,Radiocarbon Palaeolithic Europe Database v27,"Bronk Ramsey C. e.a. Archaeometry 57, 1 (2015) 177-216. Nerudova Z. e.a.  2014. Archäologisches korrespondenzblatt 44: 312.","K2011006  from mixed layer? From C, I/L-M",14663,12848,15271
