"LabCode/Ref","Site (from main datasheet + 14c-palaeolithic)","Site_ID (from main datasheet)","Layer/Context (from main datasheet)","Additional info on layer/context not originally in the datasheet","TaxUnit (from main datasheet)","Conv_C14_date","Conv_std","AMS_C14_date","AMS_Pm/Std","OSL/TL date","Std-dev","Dated material","Dated species","Informaton on pretreatment","Source (Database/Literature)","Org. Lit. Reference (if given)","Other comments/observation",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"KIA-32925","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12265,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32926","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12365,60,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","humanly modified",
"KIA-32927","Poggenwisch D","Poggenwisch",,,"Classic Hamburgian",,,12330,55,,,"antler ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Lanting J.N.,Van der Plicht J., I996, De 14 C-Chronologie van de Nederlandse Pre-en Protohistorie, I: Laat-Palaeolithicum. Palaeohistoria 37/38: 7I-125.Hamburgian. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf;","with attached bone",
"OxA-801","Aveline's Hole","NA","unclear, old excavation",,"Alleroed CBP",12100,180,,,,,"Antler (unshed)","Cervus elaphus",,"Jacobi 2005","Jacobi 2005",,
"Beta-403383","Parupė","Parupe1",,,"Brommean",,,11170,40,,,"antler axe",,,"Radiocarbon Palaeolithic Europe Database v27","Algirdas Girininkas, Istorija / 2017, t. 105, Nr. 1: 4-23, Ivanovaitė, L and Riede, F. 2018. The Final Palaeolithic Hunter-Gatherer Colonisation of Lithuania in Light of Recent Palaeoenvironmental Research. Open Quaternary, 4: 4, pp. 1–21,",,
"K-4329","Meiendorf D","Meiendorf",,,"classic Hamburgian",12360,110,,,,,"antler collagen with attached bone","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Banadora. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf",,
"H-38/121B","Meiendorf D","Meiendorf",,,"classic Hamburgian",12300,200,,,,,"antler organic fraction","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Banadora. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf","same as W-281, Y-158.2",
"H-38/121A","Meiendorf D","Meiendorf",,,"classic Hamburgian",12300,300,,,,,"antler organic fraction ","Rangifer tarandus",,"Radiocarbon Palaeolithic Europe Database v27","Banadora. Valentin B. 2007. http://lara.inist.fr/bitstream/2332/1360/1/PCRTardi2007.pdf","same as W-281 and Y-158.2",
"OxA-3717","Church Hole Cave","NA","unstratified assemblage",,"Late? Upper Palaeolithic (Creswellian)",,,12020,100,,,"antler sagaie",,,"Radiocarbon Palaeolithic Europe Database v27","Archaeometry 36, 2 (1994) 337 - 74",,
"CAMP-9918/Beta-67949","Abauntz","NA","2r",,"Magdalenian VI, Upper magdalenian",,,12340,60,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Utrilla P. et Mazo C., le versant sud des Pyrenées, IN: L'art préhistorique des Pyrénées. Musée des Antiquités Nationales.Corchon Rodriguez S. 2002.  Zephyrus 55:85-142.  Aura J.E. 2011. doi:10.1016/j.quaint",,
"ETH-44393","Abri Neumühle","AbriNeumuhle","Obere Schuttschicht (Schicht 1)",,"Older Azilian",12305,40,,,,,"tooth","Equus ferus",,"Sedlmeier 2015","Sedlmeier 2015",,
"Erl-13574","Abri Neumühle","AbriNeumuhle","Obere Schuttschicht (Schicht 1)",,"Older Azilian",12073,70,,,,,"Metatarsus","Cervus elaphus",,"Sedlmeier 2015","Sedlmeier 2015",,
"Erl-13573","Abri Neumühle","AbriNeumuhle","Obere Schuttschicht (Schicht 1)",,"Older Azilian",12094,69,,,,,"tibia","Cervus elaphus",,"Sedlmeier 2015","Sedlmeier 2015",,
"UtC-9040","Abri Neumühle","AbriNeumuhle","Obere Schuttschicht (Schicht 1)",,"Older Azilian",11990,70,,,,,"bone","Capra ibex",,"Sedlmeier 2015","Sedlmeier 2015",,
"ICEN-900","Abrigo das Bocas","Bocas0",,,"Magdalenian",9880,220,,,,,"bone","Bos",,"Radiocarbon Palaeolithic Europe Database v27","Bicho N. e.a. 2012. QI,  https://sites.google.com/ehu.eus/c14peninsulaiberica",,
"Beta-333640","Alizay","Alizay","single layer",,"Belloisian",9960,40,,,,,"bone","Bos primigenius",,,"Bemilli 2017",,
"I-17479","Anton Koba","AntonKobaVIII","Unit VIII",,"Azilian",11700,180,,,,,"bone",,,"Radiocarbon Palaeolithic Europe Database v27","Barandarian I. 2006. Miscelanea en homenaje a Victoria Cabrera. Alcala de Henares: 534-551.",,
